BIN,JOB SETUP,FILE NAME,LOGO, ARTWORK NO.,Printing Front,Ribbon Front,Printing Back,Ribbon Back
457036,AUF_CR_VISA_457036_DI,Zenith_CII_Young_Indian,,V00884,DG/UG,White,DG/UG,White
457036,AUF_CR_VISA_457036_DI,AUC_EM_B457036_L401,401,V00706,DG/UG,White,DG/UG,White
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L501,501,V01049,DG/UG,Black,DG/UG,Black
465523,AUF_CR_VISA_465523_DI,AUC_EM_B465523_L301,301,V00707,DG/UG,White,DG/UG,White
483976,AUF_CR_VISA_483976_DI,AUC_EM_B483976_L603,603,V00874,DG/UG,White,DG/UG,White
483976,AUF_CR_VISA_483976_DI,AUC_EM_B483976_L602,602,V00874,DG/UG,White,DG/UG,White
483976,AUF_CR_VISA_483976_DI,AUC_EM_B483976_L601,601,V00874,DG/UG,White,DG/UG,White
483894,AUF_CR_VISA_483894_DI,AUC_EM_B483894_L803,803,V00876,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L101_G0_Altura__,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L101_G1_Altura__,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L101_G2_Altura__,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G0_Altura_C_F,101,V00796,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G1_Altura_C_F,101,V00796,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G2_Altura_C_F,101,V00796,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G0_Altura_C_M,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G1_Altura_C_M,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G2_Altura_C_M,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L102_G0,102,V00704,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L102_G1,102,V00704,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L102_G2,102,V00705,DG/UG,White,DG/UG,White
457036,AUF_CR_PP,PP_B457036_L401,401,Inf. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,PP_B457036_L421,421,Sign. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,PP_B465523_L301,301,Sign. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,PP_B465523_L301,301,Sign. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,PP_B457036_L402,402,Sign. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_PP,PP_B653023_L910,402,Sign. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_PP,PP_B653023_L912,402,Sign. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_RUPAY_653023_DI,AUC_EM_B653023_L911_G_Rupay_Business_Cashback_Credit_Card,911,R01064,DG/UG,White,DG/UG/Indent,White/Black
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L503_G_IXIGO_AU_Credit_Card,503,V01112,DG/UG,Silver,DG/UG,Silver
457036,AUF_CR_VISA_457036_INFINEON,AUC_EM_B457036_L402_G_Zenith_Plus,402,V01076,Laser,Gold,Laser,Gold
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L504_G_ABC_FLEX,504,V01153,DG/UG,White,DG/UG,White
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L505_G_ABC_NXT,505,V01154,DG/UG,White,DG/UG,White
465523,AUF_CR_VISA_465523_INFINEON,AUC_EM_B465523_L306_G_ABC_PRO,306,V01152,DG/UG,White,DG/UG,White
465523,AUF_CR_PP,PP_B465523_L306,306,Sign. PP,Embossing,Gold,N/A,N/A
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L701_G_Purchase_Reward_Credit_Card,701,V00875,DG/UG,White,DG/UG,White
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L702_G_Purchase_Credit_Card,702,V00875,DG/UG,White,DG/UG,White
406977,AUF_CR_PP,PP_B406977_L503,503,Inf. PP,Embossing,Gold,N/A,N/A
483894,AUF_CR_VISA_483894_INFINEON,AUC_EM_B483894_L804_G_ABC_BIZ,804,V01177,DG/UG,White,DG/UG,White
466572,AUF_CR_RUPAY_466572_DI,AUC_EM_B466572_L201_G_AU_NOMO,201,V01228,DG/UG,White,DG/UG,White
653063,AUF_CR_RUPAY_653063_DI,AUC_EM_B653063_L914_G_AU_SPONT,914,RO1227,DG/UG,Black,DG/UG,White
653064,AUF_CR_RUPAY_ABC_FLEX_653064_DI,AUC_EM_B653064_L915_G_ABC_FLEX,915,R01210,DG/UG,White,DG/UG,White
653065,AUF_CR_RUPAY_ABC_NXT_653065_DI,AUC_EM_B653065_L916_G_ABC_NXT,916,R01211,DG/UG,White,DG/UG,White
653062,AUF_CR_RUPAY_653062_INFINEON,AUC_EM_B653062_L913_G_IXIGO_RUPAY,913,R01208,DG/UG,White,DG/UG,White
406977,AUF_CR_PP,AUC_PP_NEW_ISSUE_406977_L503_AU_BANK_IXIGO,503,Inf. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,AUC_PP_NEW_ISSUE_457036_L401_AU_BANK_ZENITH,401,Inf. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,AUC_PP_NEW_ISSUE_457036_L402_AU_ZENITH_PLUS,402,Sign. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,AUC_PP_NEW_ISSUE_465523_L301_AU_BANK_VETTA,301,Sign. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,AUC_PP_NEW_ISSUE_465523_L306_ABC_PRO,306,Sign. PP,Embossing,Gold,N/A,N/A
653062,AUF_CR_PP,AUC_PP_NEW_ISSUE_653062_L913_IXIGO,913,Inf. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_RUPAY_XCITE_ACE_653023_G29_DI,AUC_EM_B653023_L905_G_Xcite_Ace,905,R01294,DG/UG,White,DG/UG,White
653023,AUF_CR_RUPAY_XCITE_ULTRA_653023_G29_DI,AUC_EM_B653023_L906_G_Xcite_Ultra_RuPay,906,R01293,DG/UG,White,DG/UG,White
653023,AUF_CR_RUPAY_Vetta_653023_G29_DI,AUC_EM_B653023_L909_G_Vetta_RuPay,909,R01289,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_ALTURA_653024_G29,AUC_EM_B653024_L901_G_Altura_RuPay,901,R01291,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L902_G2_Altura+Pink_RuPay,902,R01290,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L902_G0_Altura+Blue_RuPay,902,R01284,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L902_G1_Altura+Blue_RuPay,902,R01284,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_653024_G29,AUC_EM_B653024_L904_G_Xcite_RuPay,904,R01292,DG/UG,White,DG/UG,White
653024,AUF_CR_RUPAY_LIT_653024_G29_DI,AUC_EM_B653024_L908_G_LIT_RuPay,908,R01288,DG,Black,DG,Black
653024,AUF_CR_RUPAY_Zenith_653024_G29_DI,AUC_EM_B653024_L910_G_Zenith_RuPay,910,R01287,DG,White,DG,White
457036,AUF_CR_VISA_TRAVERSE_409632_DI,AUC_EM_B457036_L421_G_AU_Traverse,421,VO1247,DG,White,DG,White
653024,AUF_CR_RUPAY_NOMO_653024_DI,AUC_EM_B653024_L925_G_AU_NOMO_RUPAY,925,R01313,DG,WHITE,DG,WHITE
457036,AUF_CR_PP,AUC_PP_Reissue_457036_L401_ZENITH,401,Inf. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,AUC_PP_Reissue_457036_L402_ZENITH_PLUS,402,Inf. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,AUC_PP_Reissue_465523_L301_VETTA,301,Inf. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,AUC_PP_Reissue_465523_L306_ABC_PRO,306,Inf. PP,Embossing,Gold,N/A,N/A
653024,AUF_CR_PP,AUC_PP_Reissue_653024_L910_ZENITH_RUPAY,910,Inf. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_PP,AUC_PP_Reissue_653023_L912_ZENITH_PLUS_RUPAY,912,Inf. PP,Embossing,Gold,N/A,N/A
406977,AUF_CR_PP,AUC_PP_Reissue_406977_L503_IXIGO,503,Inf. PP,Embossing,Gold,N/A,N/A
653062,AUF_CR_PP,AUC_PP_Reissue_653062_L913_IXIGO_RUPAY,913,Inf. PP,Embossing,Gold,N/A,N/A
653063,AUF_CR_PP,AUC_PP_Reissue_653063_L909_VETTA_RUPAY,909,Inf. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_RUPAY_AU_KOSMO_653023_DI,AUC_EM_B653023_L930_G_AU_KOSMO,930,RO1370,DG,BLACK,DG,WHITE
653023,AUF_CR_Zenith_Plus_Rupay_653023_G29_DI,AUC_EM_B653023_L912_G_Zenith_Plus_RuPay,912,R01295,Laser,Gold,Laser,Gold
